Kód;Tanegység;Előadás;Gyakorlat;Labor;Konzultáció;Számonkérés;Kredit;Ajánlott félév;Előfeltétel(ek);1. félév;2. félév;3. félév;4. félév;5. félév;6. félév;Ismeretkör
IP-18bPREE;Programozáselmélet;2;0;0;0;K;2;3;IP-18bPREG (gyenge);;;2+0+0+0;;;;Szám
IP-18bPREG;Programozáselmélet;0;2;0;1;FG;3;3;IP-18MATAG;;;0+2+0+1;;;;Szám
IP-18bEVALKEG;Eseményvezérelt alkalmazások;2;0;2;1;FG;5;3;IP-18OEPROGEG;;;2+0+2+1;;;;Inf
IP-18bAN2E;Analízis II;2;0;0;0;K;2;3;IP-18bAN2G (gyenge);;;2+0+0+0;;;;Mat
IP-18bAN2G;Analízis II;0;2;0;1;G;3;3;IP-18AN1E;;;0+2+0+1;;;;Mat
IP-18bDM2E;Diszkrét matematika II;2;0;0;0;K;2;3;IP-18bDM2G (gyenge);;;2+0+0+0;;;;Mat
IP-18bDM2G;Diszkrét matematika II;0;2;0;1;G;3;3;IP-18DM1E;;;0+2+0+1;;;;Mat
IP-18bFNYFPRE;Formális nyelvek és a fordítóprogramok alapjai;2;0;0;0;K;2;4;IP-18bFNYFPRG (gyenge);;;;2+0+0+0;;;Szám
IP-18bFNYFPRG;Formális nyelvek és a fordítóprogramok alapjai;0;0;2;1;G;3;4;IP-18DM1E, IP-18OEPROGEG;;;;0+0+2+1;;;Szám
IP-18bNM1E;Numerikus módszerek I;2;0;0;0;K;2;4;IP-18bNM1G (gyenge);;;;2+0+0+0;;;Mat
IP-18bNM1G;Numerikus módszerek I;0;2;0;1;G;3;4;IP-18bAN2E;;;;0+2+0+1;;;Mat
IP-18bVSZEG;Valószínűségszámítás és statisztika (T);1;0;2;1;G;4;4;IP-18bAN2E;;;;1+0+2+1;;;Mat
IP-18bTVFTEG;Többváltozós függvénytan;1;2;0;1;G;4;4;IP-18bAN2E;;;;1+2+0+1;;;Mat
IP-18bSZTEG;Szoftvertechnológia TM;2;0;2;1;FG;5;4;IP-18bEVALKEG;;;;2+0+2+1;;;Inf
IP-18bAB2E;Adatbázisok II;2;0;0;0;K;2;5;IP-18bAB2G (gyenge);;;;;2+0+0+0;;Inf
IP-18bAB2G;Adatbázisok II;0;0;2;1;G;3;5;IP-18AB1E;;;;;0+0+2+1;;Inf
IP-18bSZEE;Számításelmélet;2;0;0;0;K;2;5;IP-18bSZEG (gyenge);;;;;2+0+0+0;;Szám
IP-18bSZEG;Számításelmélet;0;2;0;1;G;3;5;IP-18bFNYFPRE;;;;;0+2+0+1;;Szám
IP-18bNM2EG;Numerikus módszerek II;1;2;0;0;G;3;5;IP-18bNM1E;;;;;1+2+0+0;;Mat
