Kód;Tanegység;Előadás;Gyakorlat;Labor;Konzultáció;Számonkérés;Kredit;Ajánlott félév;Előfeltétel(ek);1. félév;2. félév;3. félév;4. félév;5. félév;6. félév;Ismeretkör
IP-18cWEBPROGEG;Webprogramozás;1;0;2;1;XFG;4;3;IP-18WF1EG;;;1+0+2+1;;;;Inf
IP-18cPROGTEG;Programozási technológia;2;0;2;1;XFG;5;3;IP-18OEPROGEG;;;2+0+2+1;;;;Inf
IP-18cAN2E;Analízis II (F);2;0;0;0;K;2;3;IP-18cAN2G (gyenge);;;2+0+0+0;;;;Mat
IP-18cAN2G;Analízis II (F);0;2;0;1;G;3;3;IP-18AN1E;;;0+2+0+1;;;;Mat
IP-18cDMAG;Diszkrét modellek alkalmazásai;0;0;2;1;G;3;3;IP-18DM1E;;;0+0+2+1;;;;Mat
IP-18cSZÁMEA1E;A számításelmélet alapjai I.;2;0;0;0;K;2;4;IP-18cSZÁMEA1G (gyenge);;;;2+0+0+0;;;Szám
IP-18cSZÁMEA1G;A számításelmélet alapjai I.;0;2;0;1;G;3;4;IP-18DM1E;;;;0+2+0+1;;;Szám
IP-18cNM1G;Numerikus módszerek;0;2;0;1;G;3;4;IP-18cAN2E;;;;0+2+0+1;;;Mat
IP-18cSZTEG;Szoftvertechnológia (F);2;0;2;1;XFG;5;4;IP-18cPROGTEG;;;;2+0+2+1;;;Inf
IP-18cAB2E;Adatbázisok II;2;0;0;0;K;2;5;IP-18cAB2G (gyenge);;;;;2+0+0+0;;Inf
IP-18cAB2G;Adatbázisok II;0;0;2;1;G;3;5;IP-18AB1E;;;;;0+0+2+1;;Inf
IP-18cSZÁMEA2E;A számításelmélet alapjai II.;2;0;0;0;K;2;5;IP-18cSZÁMEA2G (gyenge);;;;;2+0+0+0;;Szám
IP-18cSZÁMEA2G;A számításelmélet alapjai II.;0;2;0;1;G;3;5;IP-18cSZÁMEA1E;;;;;0+2+0+1;;Szám
IP-18cVSZG;Valószínűségszámítás és statisztika (F);0;0;2;1;G;3;5;IP-18cAN2E;;;;;0+0+2+1;;Mat
