Kód;Tanegység;Előadás;Gyakorlat;Labor;Konzultáció;Számonkérés;Kredit;Ajánlott félév;Előfeltétel(ek);1. félév;2. félév;3. félév;4. félév;5. félév;6. félév;Ismeretkör
IP-18SZGREG;Számítógépes rendszerek;2;0;2;1;XFG;5;1;;2+0+2+1;;;;;;Inf.
IP-18PROGEG;Programozás;2;0;3;1;XFG;6;1;;2+0+3+1;;;;;;Inf.
IP-18IMPROGEG;Imperatív programozás;2;0;3;0;XFG;5;1;;2+0+3+0;;;;;;Inf.
IP-18FUNPEG;Funkcionális programozás;2;0;2;1;XK;5;1;;2+0+2+1;;;;;;Inf.
IP-18MATAG;Matematikai alapok;0;4;0;0;XFG;4;1;;0+4+0+0;;;;;;Mat
IP-18TMKG;Egyetemi alapozó és tanulásmódszertani kurzus;0;1;0;0;G;1;1;;0+1+0+1;;;;;;Egyéb
IP-18IVMEG;Innovatív vállalkozás menedzsment;1;2;0;0;XG;3;1,6;;1+2+0+0;;;;;;Egyéb
IP-18PNYEG;Programozási nyelvek;2;0;2;2;XFG;6;2;IK-18IMPROGEG;;2+0+2+2;;;;;Inf
IP-18OEPROGEG;Objektumelvű programozás;2;0;3;1;XFG;6;2;IP-18PROGEG;;2+0+3+1;;;;;Inf
IP-18WF1EG;Web-fejlesztés;1;0;2;0;XFG;3;2;IP-18SZGREG (gyenge);;1+0+2+0;;;;;Inf
IP-18AA1E;Algoritmusok és adatszerkezetek I;2;0;0;0;K;2;2;IP-18AA1G (gyenge);;2+0+0+0;;;;;Szám
IP-18AA1G;Algoritmusok és adatszerkezetek I;0;2;0;1;G;3;2;IP-18MATAG, IP-18PROGEG;;0+2+0+1;;;;;Szám
IP-18DM1E;Diszkrét matematika I;2;0;0;0;K;2;2;IP-18DM1G (gyenge);;2+0+0+0;;;;;Mat
IP-18DM1G;Diszkrét matematika I;0;2;0;1;FG;3;2;IP-18MATAG;;0+2+0+1;;;;;Mat
IP-18AN1E;Analízis I;2;0;0;0;K;2;2;IP-18AN1G (gyenge);;2+0+0+0;;;;;Mat
IP-18AN1G;Analízis I;0;2;0;1;G;3;2;IP-18MATAG;;0+2+0+1;;;;;Mat
IP-18AA2E;Algoritmusok és adatszerkezetek II;2;0;0;0;K;2;3;IP-18AA2G (gyenge);;;2+0+0+0;;;;Szám
IP-18AA2G;Algoritmusok és adatszerkezetek II;0;2;0;1;G;3;3;IP-18AA1E;;;0+2+0+1;;;;Szám
IP-18OPREG;Operációs rendszerek;1;0;1;1;XFG;3;4;IP-18SZGREG, IP-18PNYEG;;;;1+0+1+1;;;Inf
IP-18AB1E;Adatbázisok I;2;0;0;0;K;2;4;IP-18AB1G (gyenge);;;;2+0+0+0;;;Inf
IP-18AB1G;Adatbázisok I;0;0;2;0;FG;2;4;IP-18AA2E;;;;0+0+2+0;;;Inf
IP-18KPROGEG;Konkurrens programozás;1;1;0;1;XFG;3;5;IP-18PNYEG;;;;;1+0+1+1;;Inf
IP-18TKHE;Telekommunikációs hálózatok;2;0;0;0;K;2;5;IP-18TKHG (gyenge);;;;;2+0+0+0;;Inf
IP-18TKHG;Telekommunikációs hálózatok;0;0;2;1;FG;3;5;IP-18OEPROGEG;;;;;0+0+2+1;;Inf
IP-18MIAE;Mesterséges intelligencia;2;0;0;1;K;3;5;IP-18AA2E (gyenge);;;;;2+0+0+1;;Szám
IP-18JIE;Jogi ismeretek;2;0;0;1;K;3;1,6;;;;;;;2+0+0+1;Egyéb
